Converted?,Avg Policy Size,Grid State,Years Positive,Operating Acreage,Rain Index Variance,Distance to Nearest Customer (Miles)
1,151756,UT,12,72649,0.3699428,
0,93780,NM,13,23211,0.45180133,5.1
0,25908,WA,15,158468,0.36056704,63.4
1,197503,WY,13,95566,0.33542662,
1,165068,CA,11,33764,0.37053066,
1,61326,CA,13,14789,0.21091799,3.4
0,58428,UT,13,39837,0.34180927,1.1
1,34640,UT,15,24356,0.64366507,0
1,44900,NM,11,10469,0.5705962,
1,5937,NM,11,2190,0.38362661,
0,149319,WY,13,58429,0.30303311,
1,16529,CO,10,7373,0.32838192,9.2
0,13891,NM,13,6069,0.43945955,
1,142685,SD,10,49391,0.2556488,
1,69730,TX,13,15490,0.60600841,11.3
1,,UT,15,,,
1,121656,OR,12,33179,0.25934764,
1,197880,NM,11,89046,0.22170604,
0,,CO; UT,15,,,
1,,KS,15,,,
1,8238,NE,7,1862,0.27879532,1.1
1,46292,NM,12,15545.82,0.49822632,
0,50458,CA,15,3785.3,0.57145611,
1,,CA,0,,,
0,3942,MT,10,1620,0.37944084,26.6
1,,TX,0,,,
0,,MN,0,,,
0,83834,NM,12,9202.41,0.552444,
1,,TX,0,,,
1,,IA,0,,,
1,19052,NV,15,9146,0.50968753,0
1,30654,SD,9,2227.76,0.38244283,3.7
1,,IA,0,,,
1,8238,NE,7,1862,0.27879532,1.1
1,142685,SD,10,49391,0.2556488,
1,,CA,0,,,
0,13891,NM,13,6069,0.43945955,
1,121656,OR,12,33179,0.25934764,
0,58428,UT,13,39837,0.34180927,1.1
0,50458,CA,15,3785.3,0.57145611,
0,3942,MT,10,1620,0.37944084,26.6
0,93780,NM,13,23211,0.45180133,5.1
1,151756,UT,12,72649,0.3699428,
0,25908,WA,15,158468,0.36056704,63.4
1,19052,NV,15,9146,0.50968753,0
0,149319,WY,13,58429,0.30303311,
1,16529,CO,10,7373,0.32838192,9.2
0,83834,NM,12,9202.41,0.552444,
1,,KS,15,,,
1,46292,NM,12,15545.82,0.49822632,
1,,UT,15,,,
1,69730,TX,13,15490,0.60600841,11.3
1,44900,NM,11,10469,0.5705962,
1,61326,CA,13,14789,0.21091799,3.4
1,197880,NM,11,89046,0.22170604,
1,34640,UT,15,24356,0.64366507,0
1,165068,CA,11,33764,0.37053066,
0,,MN,0,,,
1,197503,WY,13,95566,0.33542662,
1,5937,NM,11,2190,0.38362661,
0,,CO; UT,15,,,
1,,TX,0,,,
1,,TX,0,,,
1,34076,NV,14,10875.45,0.28647253,
1,,TX,0,,,
1,29683,IL,7,1780,0.16747403,283.4
1,3913,NM,13,1720,0.51002543,22.3
1,,TX,0,,,
1,75892,TX,12,6287.66,0.51609194,
1,194551,TX,13,25372,0.41277358,5.3
1,192505,TX,14,25581,0.47117259,5.6
1,4702,WY,6,3151,0.44252616,10.2
1,4710983,ID,12,880128,0.26242705,0
1,81467,NM,12,18670,0.5705962,24.8
1,28254,UT,14,20062,0.27709898,0.2
1,37694,NE,12,11204,0.28388403,0
1,,,15,,,
1,14545,SD,10,2784,0.23226805,7.6
1,245276,NE,11,44520,0.32247247,5.5
1,,,15,,,
1,36416,NM,13,8429,0.63930871,14.3
1,41476,NM,12,9976,0.50831298,11.9
1,29078,KS,13,2058,0.3336424,4
1,,,15,,,
1,156632,ID,12,35459,0.5606913,0.2
1,37065,UT,13,33803,0.57001279,0
1,115370,CO,13,44455,0.34308439,13.3
1,10339,TX,11,3079,0.5407831,41.9
1,13654,TX,13,2400,0.71262487,5.4
1,118579,NV,9,35540,0.44198464,0
1,57338,AZ,13,18545,0.80874802,0
1,149505,MT,13,70663,0.30940258,6.9
1,84400,NE,9,17223,0.28296462,0
1,63881,UT,13,52939,0.36925025,0
1,93100,CO,12,36982,0.60102823,0
1,4165,UT,11,2589,0.46652693,1.8
1,21963,,15,3885,,
1,,,15,,,
1,35952,NM,13,8702,0.552444,17
1,47460,UT,10,14628,0.29497041,0
1,,,15,,,
1,,,15,,,
1,63249,CA,12,12722,1.17248731,0
1,301500,,15,,,
1,64684,CO,10,35573,0.30667172,5.2
1,,,15,,,
1,54471,LA,11,4321,0.2882614,65.6
1,,,15,,,
1,18377,UT,11,16833,0.44304208,0
1,10200,SD,12,1985,0.25117336,38.4
1,,,15,,,
1,6052,AZ,10,3037,0.53021216,0
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,14507,NM,14,4739,0.63253854,12.6
1,32107,NM,13,11916,0.72870376,7.4
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,20133,WY,8,9890,0.39696711,19.8
1,56612,OR,11,14726,0.29139423,0.2
1,51579,OK,12,5389,0.36028222,19.2
1,18864,WY,14,8945,0.34289815,0
1,9973,NM,12,2556,0.61166214,21.4
1,,,15,,,
1,,,15,,,
1,25506,KS,11,2346,0.29123248,38
1,,,15,,,
1,,,15,,,
1,4125,UT,15,3294,0.45367974,0
1,23874,NE,12,2338,0.33587046,3.3
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,,,15,,,
1,4863,MT,10,2113,0.44762645,16.7
1,,,15,,,
1,,,15,,,
1,,,15,,,
0,3107,CO,11,1451,0.30505431,30.7
0,236565,UT,13,102360,0.45249553,
0,18835,NV,12,6726.66,0.25333295,
0,277455,TX,13,85517,0.69300423,
0,,UT,15,,,
0,7502,CO,9,3037,0.34680007,18.4
0,,UT,15,,,
0,,UT,15,,0.48765866,
0,13130,CO,13,4321,0.48268929,
0,69789,NM,13,28550,0.24396184,
1,,OR,15,,,
1,,NV,15,,,
0,,OK,15,,,
1,1032,WY,14,638,0.26415206,
0,,KS,15,,,
0,23094,NE,13,5805.72,0.22569357,
1,59159,CA,11,13179,0.27658118,
0,,WY,15,,,
0,22212,NE,15,7188.35,0.24325153,
0,252653,UT,13,113694,0.38262329,
1,272907,CA,14,47972,0.46500773,
1,288,ID,10,80,0.57596675,
1,,CA,0,,,
1,33967,AZ,13,14152.79,0.43609217,
1,13566,MT,5,7509,0.3658396,12.3
1,21522,WY,11,10413.96,0.43324253,
1,16157,UT,12,9203.36,0.98707798,
0,,TX,0,,,
1,414476,NM,13,127749.43,0.69300423,
1,59200,CA,13,5322,0.55833815,9
1,,OR,0,,,
1,33328,NE,8,8063.12,0.31348394,
1,16119,CA,12,2077.19,0.94507107,
0,77685,KS,15,5797.37,0.30017406,
1,2864,UT,12,2526.78,0.20240279,
1,,NE,0,,,
1,,TX,0,,,
1,16012,SD,10,2087.61,0.30845878,
1,73505,CA,11,12482,0.51253652,
1,43703,UT,13,20486,0.36084705,
1,4573,UT,12,2856,0.35062873,0
1,25703,KS,9,2375.04,0.3655175,
1,24625,OK,10,3104,0.22683131,10
1,3289,WY,14,1669,0.34326682,6.4
1,195829,AZ,13,74724,0.44595826,21.8
1,19309,TX,12,2839.54,0.33464733,
1,109951,NM,11,40226,0.40949917,
1,44404,NM,13,20600,0.1966257,
1,,NV,0,,,
1,1419,WY,10,809,0.31327185,0
1,,NE,0,,,
0,,TX,0,,,
1,21522,WY,11,10413.96,0.43324253,
1,13566,MT,5,7509,0.3658396,12.3
1,109951,NM,11,40226,0.40949917,
1,33328,NE,8,8063.12,0.31348394,
1,43703,UT,13,20486,0.36084705,
0,22212,NE,15,7188.35,0.24325153,
0,277455,TX,13,85517,0.69300423,
0,77685,KS,15,5797.37,0.30017406,
1,59159,CA,11,13179,0.27658118,
0,,UT,15,,0.48765866,
0,,WY,15,,,
1,,NE,0,,,
0,69789,NM,13,28550,0.24396184,
1,24625,OK,10,3104,0.22683131,10
1,2864,UT,12,2526.78,0.20240279,
1,272907,CA,14,47972,0.46500773,
0,13130,CO,13,4321,0.48268929,
1,73505,CA,11,12482,0.51253652,
1,16012,SD,10,2087.61,0.30845878,
0,23094,NE,13,5805.72,0.22569357,
1,,OR,0,,,
1,,TX,0,,,
1,288,ID,10,80,0.57596675,
1,,OR,15,,,
1,1419,WY,10,809,0.31327185,0
1,4573,UT,12,2856,0.35062873,0
0,,UT,15,,,
1,33967,AZ,13,14152.79,0.43609217,
1,16157,UT,12,9203.36,0.98707798,
1,19309,TX,12,2839.54,0.33464733,
1,,NV,15,,,
0,252653,UT,13,113694,0.38262329,
0,,TX,0,,,
1,,NV,0,,,
0,,KS,15,,,
0,,TX,0,,,
1,1032,WY,14,638,0.26415206,
0,,OK,15,,,
1,414476,NM,13,127749.43,0.69300423,
1,,NE,0,,,
1,3289,WY,14,1669,0.34326682,6.4
1,195829,AZ,13,74724,0.44595826,21.8
1,25703,KS,9,2375.04,0.3655175,
1,,CA,0,,,
1,59200,CA,13,5322,0.55833815,9
0,18835,NV,12,6726.66,0.25333295,
0,,UT,15,,,
0,3107,CO,11,1451,0.30505431,30.7
0,236565,UT,13,102360,0.45249553,
1,44404,NM,13,20600,0.1966257,
1,16119,CA,12,2077.19,0.94507107,
0,7502,CO,9,3037,0.34680007,18.4
0,3688,WY,11,1734,0.38981435,1.6
1,64584,ID,13,8915,0.19044764,
0,12479,TN,11,2088,0.13240047,166.5
0,67667,ID,11,13841,0.33015593,
0,144495,UT,11,65097,0.37809325,0
